,time,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
37,1662599738.4556763,stand,0,0,1,0,0,0,0,82
38,1662599738.4611604,stand,0,0,1,0,0,0,0,82
39,1662599738.4647217,stand,0,0,1,0,0,0,0,82
40,1662599738.7099056,stand,0,0,1,0,0,0,0,82
41,1662599738.7936819,stand,0,0,1,0,0,0,0,82
42,1662599738.9124687,stand,0,0,1,0,0,0,0,82
43,1662599739.0187283,stand,0,0,1,0,0,0,0,82
44,1662599739.2109954,stand,0,0,1,0,0,0,0,82
45,1662599739.2937448,stand,0,0,1,0,0,0,0,82
46,1662599739.3956556,stand,0,0,1,0,0,0,0,82
47,1662599739.5041256,stand,0,0,1,0,0,0,0,82
48,1662599739.5819101,stand,0,0,1,0,0,0,0,82
49,1662599739.6938102,stand,0,0,1,0,0,0,0,82
50,1662599739.7741716,stand,0,0,1,0,0,0,0,82
51,1662599739.8289607,stand,0,0,1,0,0,0,0,82
52,1662599739.89447,stand,0,0,1,0,0,0,0,82
53,1662599740.019567,stand,0,0,1,0,0,0,0,82
54,1662599740.2109828,stand,0,0,1,0,0,0,0,82
55,1662599740.4525042,stand,0,0,1,0,0,0,0,82
56,1662599740.528314,stand,0,0,1,0,0,0,0,82
57,1662599740.5939953,stand,0,0,1,0,0,0,0,82
58,1662599740.6475115,stand,0,0,1,0,0,0,0,82
59,1662599740.728551,stand,0,0,1,0,0,0,0,82
60,1662599740.8304162,stand,0,0,1,0,0,0,0,82
61,1662599740.8759394,stand,0,0,1,0,0,0,0,82
62,1662599740.9405668,stand,0,0,1,0,0,0,0,82
63,1662599741.0406232,stand,0,0,1,0,0,0,0,82
64,1662599741.1067786,stand,0,0,1,0,0,0,0,82
65,1662599741.1566935,stand,0,0,1,0,0,0,0,82
66,1662599741.2104135,stand,0,0,1,0,0,0,0,82
67,1662599741.330306,stand,0,0,1,0,0,0,0,82
68,1662599741.430649,stand,0,0,1,0,0,0,0,82
69,1662599741.6608932,stand,0,0,1,0,0,0,0,82
70,1662599741.71692,stand,0,0,1,0,0,0,0,82
71,1662599741.8356209,stand,0,0,1,0,0,0,0,82
72,1662599742.0907676,stand,0,0,1,0,0,0,0,82
73,1662599742.143116,stand,0,0,1,0,0,0,0,82
74,1662599742.2099335,stand,0,0,1,0,0,0,0,82
